,DEPCOM,MACROZONE,Macro_agre,NOM,POP2010,POP2011
774,78620,78,,Toussus-le-Noble,958,1006
775,78621,SQY,,Trappes,29380,29563
776,78623,78,,Le Tremblay-sur-Mauldre,969,979
777,78624,78,,Triel-sur-Seine,11598,11549
778,78638,78,,Vaux-sur-Seine,4813,4798
779,78640,78,,V?lizy-Villacoublay,20089,20711
780,78642,78,,Verneuil-sur-Seine,15178,15466
781,78643,78,,Vernouillet,9399,9401
782,78644,SQY,,La Verri?re,5993,5924
783,78646,78,,Versailles,86110,86307
784,78647,78,,Vert,788,797
785,78650,78,,Le V?sinet,16249,15929
786,78653,78,,Vicq,333,338
787,78655,78,,Vieille-?glise-en-Yvelines,811,803
788,78668,78,,La Villeneuve-en-Chevrie,568,572
789,78672,78,,Villennes-sur-Seine,5085,5103
790,78674,SQY,,Villepreux,9871,9888
791,78677,78,,Villette,511,515
792,78681,78,,Villiers-le-Mahieu,704,700
793,78683,78,,Villiers-Saint-Fr?d?ric,2727,2728
794,78686,78,,Viroflay,15905,15723
795,78688,SQY,,Voisins-le-Bretonneux,11730,11631
796,91001,91,,Abb?ville-la-Rivi?re,283,279
797,91016,91,,Angerville,3753,3934
798,91017,91,,Angervilliers,1645,1644
799,91021,91,,Arpajon,10574,10704
800,91022,91,,Arrancourt,128,124
801,91027,Orly,,Athis-Mons,30393,29831
802,91035,91,,Authon-la-Plaine,360,365
803,91037,91,,Auvernaux,338,343
804,91038,91,,Auvers-Saint-Georges,1204,1237
805,91041,91,,Avrainville,737,777
806,91044,91,,Ballainvilliers,3795,3779
807,91045,91,,Ballancourt-sur-Essonne,7399,7425
808,91047,91,,Baulne,1316,1302
809,91064,91,,Bi?vres,4643,4462
810,91067,91,,Blandy,115,118
811,91069,91,,Boigneville,416,408
812,91075,91,,Bois-Herpin,75,76
813,91079,91,,Boissy-la-Rivi?re,551,559
814,91080,91,,Boissy-le-Cutt?,1324,1319
815,91081,91,,Boissy-le-Sec,671,675
816,91085,91,,Boissy-sous-Saint-Yon,3731,3713
817,91086,91,,Bondoufle,9298,9222
818,91093,91,,Boullay-les-Troux,649,640
819,91095,91,,Bouray-sur-Juine,1962,1990
820,91097,91,,Boussy-Saint-Antoine,6292,6241
821,91098,91,,Boutervilliers,366,379
822,91099,91,,Boutigny-sur-Essonne,3103,3061
823,91100,91,,Bouville,616,626
824,91103,91,,Br?tigny-sur-Orge,23334,24264
825,91105,91,,Breuillet,8319,8361
826,91106,91,,Breux-Jouy,1216,1224
827,91109,91,,Bri?res-les-Scell?s,1026,1070
828,91111,91,,Briis-sous-Forges,3364,3491
829,91112,91,,Brouy,125,128
830,91114,91,,Brunoy,25377,25492
831,91115,91,,Bruy?res-le-Ch?tel,3187,3389
832,91121,91,,Buno-Bonnevaux,476,479
833,91122,91,,Bures-sur-Yvette,9535,9676
834,91129,91,,Cerny,3294,3310
835,91130,91,,Chalo-Saint-Mars,1143,1152
836,91131,91,,Chalou-Moulineux,418,417
837,91132,91,,Chamarande,1091,1111
838,91135,91,,Champcueil,2790,2804
839,91136,91,,Champlan,2525,2596
840,91137,91,,Champmotteux,376,384
841,91145,91,,Chatignonville,56,53
842,91148,91,,Chauffour-l?s-?tr?chy,135,138
843,91156,91,,Cheptainville,1905,1901
844,91159,91,,Chevannes,1641,1686
845,91161,Orly,,Chilly-Mazarin,18484,18843
846,91174,91,,Corbeil-Essonnes,43086,44223
847,91175,91,,Corbreuse,1703,1720
848,91179,91,,Le Coudray-Montceaux,4708,4725
849,91180,91,,Courances,352,350
850,91182,91,,Courcouronnes,13812,13696
851,91184,91,,Courdimanche-sur-Essonne,269,268
852,91186,91,,Courson-Monteloup,595,601
853,91191,91,,Crosne,9143,9190
854,91195,91,,Dannemois,840,846
855,91198,91,,D'Huison-Longueville,1409,1406
