stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87313221,"Gare de Ailly-sur-Noye",,49.7544015,2.36417098,,,1,
StopArea:OCE87313049,"Gare de Longueau",,49.8634379,2.35222787,,,1,
StopArea:OCE87313874,"Gare de Amiens",,49.89053246,2.30809809,,,1,
StopArea:OCE87313080,"Gare de St-Roch (Somme)",,49.89342418,2.28371921,,,1,
StopArea:OCE87316075,"Gare de Dreuil-lès-Amiens",,49.91455108,2.23079272,,,1,
StopArea:OCE87313098,"Gare de Ailly-sur-Somme",,49.92834709,2.20055635,,,1,
StopArea:OCE87313106,"Gare de Picquigny",,49.94646605,2.14235269,,,1,
StopArea:OCE87313114,"Gare de Hangest",,49.98280351,2.06527642,,,1,
StopArea:OCE87313122,"Gare de Longpré-Corps-Saints",,50.01133065,2.00278414,,,1,
StopArea:OCE87313130,"Gare de Pont-Rémy",,50.04733216,1.89903801,,,1,
StopArea:OCE87317362,"Gare de Abbeville",,50.10219408,1.82448553,,,1,
StopArea:OCE87276329,"Gare de Pont-Ste-Maxence",,49.30977987,2.60285291,,,1,
StopArea:OCE87276691,"Gare de Compiègne",,49.42201281,2.82348557,,,1,
StopArea:OCE87276782,"Gare de Noyon",,49.57734127,3.00637632,,,1,
StopArea:OCE87296616,"Gare de Chauny",,49.61019926,3.22252162,,,1,
StopArea:OCE87296442,"Gare de Tergnier",,49.65924359,3.29722502,,,1,
StopArea:OCE87296004,"Gare de St Quentin",,49.84002236,3.29693169,,,1,
StopArea:OCE87444000,"Gare de Caen",,49.17654371,-0.34826957,,,1,
StopArea:OCE87444208,"Gare de Mézidon-Canon",,49.07086722,-0.07496612,,,1,
StopArea:OCE87444216,"Gare de St-Pierre-sur-Dives",,49.02264025,-0.04150576,,,1,
StopArea:OCE87444695,"Gare de Sées",,48.60016092,0.16611181,,,1,
StopArea:OCE87444711,"Gare de Alençon",,48.43380326,0.09905038,,,1,
StopArea:OCE87396077,"Gare de Vivoin-Beaumont",,48.23013647,0.14467595,,,1,
StopArea:OCE87396044,"Gare de Montbizot",,48.15132801,0.19083044,,,1,
StopArea:OCE87396564,"Gare de Ecommoy",,47.82452812,0.26901262,,,1,
StopArea:OCE87396606,"Gare de Château-du-Loir",,47.68327883,0.41498452,,,1,
StopArea:OCE87571240,"Gare de St-Pierre-des-Corps",,47.38573204,0.72505388,,,1,
StopArea:OCE87571000,"Gare de Tours",,47.38981372,0.69350509,,,1,
